,date,open,high,low,close,volume
11156,2017-07-24,17.6199,17.8633,17.5469,17.7659,928978
11157,2017-07-25,17.8633,18.0093,17.8146,17.912,1230443
11158,2017-07-26,17.8633,18.1553,17.8146,17.8633,1669069
11159,2017-07-27,18.058,19.5182,18.0093,19.4208,3304580
11160,2017-07-28,19.5182,19.6155,18.7394,18.7881,2228194
11161,2017-07-31,18.7394,18.7881,18.35,18.496,874925
11162,2017-08-01,18.496,18.6421,18.2527,18.5934,1172830
11163,2017-08-02,18.6421,18.6664,18.35,18.5934,1531703
11164,2017-08-03,18.4474,18.6421,18.3013,18.6421,1083831
11165,2017-08-04,18.058,18.7394,18.058,18.6421,1002138
11166,2017-08-07,18.6421,18.6907,18.496,18.6421,973862
11167,2017-08-08,18.6907,18.8854,18.35,18.496,1078640
11168,2017-08-09,18.3987,18.3987,18.1553,18.35,798605
11169,2017-08-10,18.3013,18.3013,18.058,18.1067,1352182
11170,2017-08-11,17.9606,18.058,17.5226,17.912,1228974
11171,2017-08-14,18.0093,18.0093,17.8146,17.8146,1243743
11172,2017-08-15,17.9606,18.0093,17.6199,17.7173,1557344
11173,2017-08-16,17.7659,17.8146,17.4739,17.6199,1776913
11174,2017-08-17,17.5226,17.5956,17.4252,17.4739,1381252
11175,2017-08-18,17.3765,17.8633,17.3279,17.8633,1241226
11176,2017-08-21,17.7659,17.8633,17.6686,17.8146,978662
11177,2017-08-22,17.8146,18.0093,17.8146,17.912,576917
11178,2017-08-23,17.8146,17.9606,17.7659,17.912,697623
11179,2017-08-24,17.9606,17.9629,17.5469,17.6686,911201
11180,2017-08-25,17.8146,17.8146,17.6443,17.7659,478107
11181,2017-08-28,17.8146,17.8633,17.7173,17.8633,1049265
11182,2017-08-29,17.7659,17.8876,17.7173,17.8146,659153
11183,2017-08-30,17.7659,18.0336,17.7173,17.9606,639126
11184,2017-08-31,18.0093,18.2527,17.985,18.1553,925967
11185,2017-09-01,18.2527,18.3987,18.204,18.35,848493
11186,2017-09-05,18.35,18.4907,18.0093,18.204,880720
11187,2017-09-06,18.3013,18.3987,18.204,18.2527,848843
11188,2017-09-07,18.2527,18.4717,18.204,18.4474,1016767
11189,2017-09-08,18.4474,18.5934,18.35,18.5447,2051594
11190,2017-09-11,18.5447,18.6421,18.35,18.4474,863977
11191,2017-09-12,18.496,18.7151,18.496,18.6421,743996
11192,2017-09-13,18.5447,18.7394,18.5447,18.5934,1262194
11193,2017-09-14,18.5447,18.6421,18.4474,18.6421,782622
11194,2017-09-15,18.7394,18.7394,18.5934,18.6907,1521648
11195,2017-09-18,18.6907,18.8733,18.6907,18.8368,571357
11196,2017-09-19,18.8368,18.9341,18.7394,18.8368,668216
11197,2017-09-20,18.8854,18.9828,18.7881,18.8854,1119200
11198,2017-09-21,18.8368,19.0315,18.6907,18.7881,1333257
11199,2017-09-22,18.7881,19.0071,18.7394,18.9341,679617
11200,2017-09-25,18.9341,19.1288,18.8368,18.9828,964605
11201,2017-09-26,19.0315,19.1775,18.8854,18.9341,703140
11202,2017-09-27,18.9828,19.3235,18.9341,19.2262,1172548
11203,2017-09-28,19.1775,19.1775,19.0315,19.1288,592302
11204,2017-09-29,19.1288,19.2262,19.0315,19.0801,1025583
11205,2017-10-02,19.0801,19.3722,18.9341,19.3722,884406
11206,2017-10-03,19.4109,19.5572,19.2646,19.5085,770893
11207,2017-10-04,19.5085,19.606,19.3134,19.3134,874374
11208,2017-10-05,19.3621,19.5572,19.2158,19.5085,604895
11209,2017-10-06,19.5085,19.5085,18.972,19.1671,1452211
11210,2017-10-09,19.1671,19.2646,18.6306,18.7281,856074
11211,2017-10-10,18.7281,18.8257,18.533,18.7769,991849
11212,2017-10-11,18.7281,18.9232,18.533,18.7769,825636
11213,2017-10-12,18.7769,18.7769,18.533,18.6793,973520
11214,2017-10-13,18.7769,18.7769,18.5818,18.6793,979579
11215,2017-10-16,18.7281,18.7769,18.6062,18.7281,1120289
11216,2017-10-17,18.7281,18.7525,18.3867,18.5818,1614675
11217,2017-10-18,18.6306,18.972,18.4843,18.6793,1237562
11218,2017-10-19,18.5818,18.6966,18.4355,18.6306,835934
11219,2017-10-20,18.7281,19.0207,18.6793,18.972,997569
11220,2017-10-23,19.0207,19.1183,18.8744,19.0695,642645
11221,2017-10-24,19.1183,19.3134,18.972,19.1671,1369821
11222,2017-10-25,19.2646,19.2646,18.6306,18.9476,1297884
11223,2017-10-26,18.9232,19.1427,18.7769,18.8744,1075763
11224,2017-10-27,18.8744,18.972,18.4355,18.8744,1210470
11225,2017-10-30,18.8257,18.8744,18.6306,18.7281,927069
11226,2017-10-31,18.8257,18.8744,18.533,18.6306,1462588
11227,2017-11-01,19.3134,19.3134,17.4601,17.5576,3836474
11228,2017-11-02,17.4601,17.6552,17.1674,17.4113,2329605
11229,2017-11-03,17.3625,17.3625,16.9236,17.0211,2523694
11230,2017-11-06,17.0211,17.0699,16.6797,16.8748,1506934
11231,2017-11-07,16.8748,16.9236,16.631,16.6797,1602171
11232,2017-11-08,16.6797,16.9236,16.5578,16.7773,1672860
11233,2017-11-09,16.6797,17.0943,16.5334,16.9724,917271
11234,2017-11-10,17.0211,17.3625,16.9236,17.3138,934971
11235,2017-11-13,17.2162,17.265,16.826,17.0211,1115489
11236,2017-11-14,16.9236,17.1187,16.8017,16.9724,875098
11237,2017-11-15,16.826,16.9724,16.6797,16.826,957010
11238,2017-11-16,16.8748,17.2162,16.826,17.1674,1167115
11239,2017-11-17,17.0699,17.4113,17.0699,17.2162,1289423
11240,2017-11-20,17.2162,17.3625,17.1187,17.265,1070119
11241,2017-11-21,17.3138,17.6552,17.3138,17.6552,746852
11242,2017-11-22,17.6552,17.8502,17.6552,17.7527,627257
11243,2017-11-24,17.8015,17.8502,17.6795,17.8015,240061
11244,2017-11-27,17.8015,17.9478,17.7527,17.8502,1682382
11245,2017-11-28,17.899,18.1916,17.7527,18.1916,889270
